,roman_cp,probability
231,"IV,V,iii,IV,V","0.142,0.288,0.068,0.2,0.434"
232,"IV,V,iii,IV,ii","0.142,0.288,0.068,0.2,0.283"
233,"IV,V,iii,IV,iii","0.142,0.288,0.068,0.2,0.104"
234,"IV,V,iii,IV,vi","0.142,0.288,0.068,0.2,0.094"
235,"IV,vi,V,IV,vi","0.142,0.096,0.456,0.363,0.598"
236,"IV,vi,V,IV,V","0.142,0.096,0.456,0.363,0.134"
237,"IV,vi,V,IV,I","0.142,0.096,0.456,0.363,0.132"
238,"IV,vi,V,IV,ii","0.142,0.096,0.456,0.363,0.077"
239,"IV,vi,V,I,IV","0.142,0.096,0.456,0.265,0.683"
240,"IV,vi,V,I,V","0.142,0.096,0.456,0.265,0.085"
241,"IV,vi,V,I,ii","0.142,0.096,0.456,0.265,0.069"
242,"IV,vi,V,ii,IV","0.142,0.096,0.456,0.091,0.741"
243,"IV,vi,V,ii,iii","0.142,0.096,0.456,0.091,0.148"
244,"IV,vi,V,ii,vi","0.142,0.096,0.456,0.091,0.056"
245,"IV,vi,V,iii,IV","0.142,0.096,0.456,0.085,0.88"
246,"IV,vi,V,iii,vi","0.142,0.096,0.456,0.085,0.06"
247,"IV,vi,V,vi,IV","0.142,0.096,0.456,0.083,0.333"
248,"IV,vi,V,vi,V","0.142,0.096,0.456,0.083,0.222"
249,"IV,vi,V,vi,I<sup>6</sup>","0.142,0.096,0.456,0.083,0.222"
250,"IV,vi,V,vi,I","0.142,0.096,0.456,0.083,0.101"
251,"IV,vi,V,vi,iii","0.142,0.096,0.456,0.083,0.061"
252,"IV,vi,I,V,IV","0.142,0.096,0.167,0.425,0.719"
253,"IV,vi,I,V,ii","0.142,0.096,0.167,0.425,0.124"
254,"IV,vi,I,V,vi","0.142,0.096,0.167,0.425,0.09"
255,"IV,vi,I,IV,vi","0.142,0.096,0.167,0.254,0.727"
256,"IV,vi,I,IV,ii","0.142,0.096,0.167,0.254,0.131"
257,"IV,vi,I,IV,V","0.142,0.096,0.167,0.254,0.051"
258,"IV,vi,I,iii,IV","0.142,0.096,0.167,0.101,0.867"
259,"IV,vi,I,ii,IV","0.142,0.096,0.167,0.092,0.641"
260,"IV,vi,I,ii,&#9837;VII","0.142,0.096,0.167,0.092,0.179"
261,"IV,vi,I,ii,vi","0.142,0.096,0.167,0.092,0.103"
262,"IV,vi,I,ii,V","0.142,0.096,0.167,0.092,0.077"
263,"IV,vi,IV,vi,IV","0.142,0.096,0.133,0.48,0.573"
264,"IV,vi,IV,vi,V","0.142,0.096,0.133,0.48,0.177"
265,"IV,vi,IV,vi,I","0.142,0.096,0.133,0.48,0.061"
266,"IV,vi,IV,I,IV","0.142,0.096,0.133,0.223,0.649"
267,"IV,vi,IV,I,V","0.142,0.096,0.133,0.223,0.156"
268,"IV,vi,IV,I,vi","0.142,0.096,0.133,0.223,0.052"
269,"IV,vi,IV,I,V<sup>6</sup>","0.142,0.096,0.133,0.223,0.052"
270,"IV,vi,IV,V,vi","0.142,0.096,0.133,0.145,0.429"
271,"IV,vi,IV,V,I","0.142,0.096,0.133,0.145,0.214"
272,"IV,vi,IV,V,IV","0.142,0.096,0.133,0.145,0.095"
273,"IV,vi,IV,V,ii","0.142,0.096,0.133,0.145,0.095"
274,"vi,IV,I,V,vi","0.138,0.232,0.433,0.563,0.829"
275,"vi,IV,I,V,IV","0.138,0.232,0.433,0.563,0.058"
276,"vi,IV,I,vi,IV","0.138,0.232,0.433,0.106,0.92"
277,"vi,IV,I,ii,vi","0.138,0.232,0.433,0.07,0.775"
278,"vi,IV,I,ii,iii","0.138,0.232,0.433,0.07,0.052"
279,"vi,IV,I,V<sup>6</sup>,vi","0.138,0.232,0.433,0.054,0.826"
280,"vi,IV,I,V<sup>6</sup>,V","0.138,0.232,0.433,0.054,0.09"
281,"vi,IV,V,vi,IV","0.138,0.232,0.313,0.395,0.664"
282,"vi,IV,V,vi,V","0.138,0.232,0.313,0.395,0.094"
283,"vi,IV,V,vi,I","0.138,0.232,0.313,0.395,0.051"
284,"vi,IV,V,I,vi","0.138,0.232,0.313,0.296,0.419"
285,"vi,IV,V,I,V","0.138,0.232,0.313,0.296,0.179"
286,"vi,IV,V,I,IV","0.138,0.232,0.313,0.296,0.098"
287,"vi,IV,V,I,V<sup>6</sup>","0.138,0.232,0.313,0.296,0.072"
288,"vi,IV,V,iii,vi","0.138,0.232,0.313,0.099,0.665"
289,"vi,IV,V,iii,IV","0.138,0.232,0.313,0.099,0.266"
290,"vi,IV,V,ii,vi","0.138,0.232,0.313,0.067,0.608"
291,"vi,IV,V,ii,IV","0.138,0.232,0.313,0.067,0.16"
292,"vi,IV,V,ii,iii","0.138,0.232,0.313,0.067,0.12"
293,"vi,IV,ii,V,vi","0.138,0.232,0.059,0.294,0.775"
294,"vi,IV,ii,V,vii&deg;/vi","0.138,0.232,0.059,0.294,0.137"
295,"vi,IV,ii,V,I","0.138,0.232,0.059,0.294,0.059"
296,"vi,IV,ii,vi,IV","0.138,0.232,0.059,0.16,0.66"
297,"vi,IV,ii,vi,I","0.138,0.232,0.059,0.16,0.24"
298,"vi,IV,ii,V/vi,vi","0.138,0.232,0.059,0.16,0.827"
299,"vi,IV,ii,V/vi,V<sup>6</sup>/vi","0.138,0.232,0.059,0.16,0.096"
300,"vi,IV,ii,IV,iii","0.138,0.232,0.059,0.125,0.279"
301,"vi,IV,ii,IV,V","0.138,0.232,0.059,0.125,0.163"
302,"vi,IV,ii,IV,vi","0.138,0.232,0.059,0.125,0.14"
303,"vi,IV,ii,IV,I","0.138,0.232,0.059,0.125,0.14"
304,"vi,IV,ii,IV,V<sup>6</sup>/vi","0.138,0.232,0.059,0.125,0.093"
305,"vi,IV,ii,iii,vi","0.138,0.232,0.059,0.085,0.323"
306,"vi,IV,ii,iii,IV","0.138,0.232,0.059,0.085,0.29"
307,"vi,IV,ii,iii,iii<sup>7</sup>","0.138,0.232,0.059,0.085,0.065"
308,"vi,IV,ii,I,vi","0.138,0.232,0.059,0.077,0.462"
309,"vi,IV,ii,I,V","0.138,0.232,0.059,0.077,0.154"
310,"vi,IV,ii,I,V<sup>6</sup>","0.138,0.232,0.059,0.077,0.115"
311,"vi,IV,ii,I,v<sup>6</sup>","0.138,0.232,0.059,0.077,0.077"
312,"vi,IV,vi,IV,vi","0.138,0.232,0.052,0.45,0.679"
313,"vi,IV,vi,IV,V","0.138,0.232,0.052,0.45,0.102"
314,"vi,IV,vi,IV,I","0.138,0.232,0.052,0.45,0.088"
315,"vi,IV,vi,V,IV","0.138,0.232,0.052,0.241,0.382"
316,"vi,IV,vi,V,vi","0.138,0.232,0.052,0.241,0.289"
317,"vi,IV,vi,V,I","0.138,0.232,0.052,0.241,0.158"
318,"vi,IV,vi,V,iii","0.138,0.232,0.052,0.241,0.079"
319,"vi,IV,vi,V,ii","0.138,0.232,0.052,0.241,0.053"
320,"vi,IV,vi,I,V","0.138,0.232,0.052,0.067,0.273"
321,"vi,IV,vi,I,IV<sup>6</sup><sub>4</sub>","0.138,0.232,0.052,0.067,0.182"
322,"vi,IV,vi,I,iii<sup>6</sup><sub>4</sub>","0.138,0.232,0.052,0.067,0.091"
323,"vi,IV,vi,I,vi","0.138,0.232,0.052,0.067,0.091"
324,"vi,IV,vi,I,I<sup>6</sup>","0.138,0.232,0.052,0.067,0.091"
325,"vi,IV,vi,I,IV","0.138,0.232,0.052,0.067,0.091"
326,"vi,IV,vi,I,ii","0.138,0.232,0.052,0.067,0.091"
327,"vi,V,IV,V,vi","0.138,0.202,0.429,0.261,0.625"
328,"vi,V,IV,V,I","0.138,0.202,0.429,0.261,0.193"
329,"vi,V,IV,V,IV","0.138,0.202,0.429,0.261,0.078"
330,"vi,V,IV,I,vi","0.138,0.202,0.429,0.237,0.479"
